Obs Key,Taxon grou,TaxonName,Common Nam,date,grid,location,survey,note,All Design,Sample Yea,Recorders,Sample 1 k,Northing,Easting
SR0003650001JDM3,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,16/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JDM4,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,16/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JDM5,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,16/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JDM6,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,16/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JDM7,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,16/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JDM8,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,16/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JDM9,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,16/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JDMA,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,16/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JWNU,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,16/09/2021,SP1179903089,Sunhill Mushroom Plant,Wildwood Ecology Ltd,field record; Flight record,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Peter Hacker,SP1103,203089,411799
SR0003650001JDLX,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JDLY,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JDLZ,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6F,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6G,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6H,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6I,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6J,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6K,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD85,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD86,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD87,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD88,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5J,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5K,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5L,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5M,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5N,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5O,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5P,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7A,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7B,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7C,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7D,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7E,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7F,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7O,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7P,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7Q,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7R,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7S,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7T,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD7U,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD53,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD54,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD55,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD56,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD57,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD58,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5Y,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5Z,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD60,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD61,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD62,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD63,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD64,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6T,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6U,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6V,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6W,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6X,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6Y,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD6Z,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5B,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5C,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5D,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5Q,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5R,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
SR0003650001JD5S,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,15/09/2021,SP1159825243,Naunton Well,Ecological consultants surveys,SM2 detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2021,Henry Andrews,SP1125,225243,411598
