tok,rtvk,rtlik,actual_name,date,date_start,date_end,date_type,date_entered,date_modified,grid,grid_ref_type,grid_ref_release_res,location,count,abundance,recorder,determiner,determination_type,record_type,survey,source_meta_data,ring_number,note,verification_level,date_formatted,easting_centred,northing_centred,easting_min,northing_min,easting_max,northing_max,grid_ref_10m_sq,grid_ref_100m_sq,grid_ref_1km_sq,grid_ref_10km_sq,lat,lon,resolution,geom_point,geom_poly,geom_mobile,updated_at,created_at,vc,ua,lrc_array
LC000215000000P9,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,22/08/2002,22/08/2002,22/08/2002,D,18/08/2004,18/08/2004,SO456203,Estimated from Map,NULL,Skenfrith Castle: Skenfrith,1,1,Phil Morgan,Phil P.L. Morgan,Observation,None,Monmouthshire Mammal Records,,,Bat detector: time expansion record. Foraging (Castle),1,22/08/2002,345650,220350,345600,220300,345700,220400,,SO456203,SO4520,SO42,51.87905295,-2.790953347,100,0101000020346C000000000000C818154100000000F0E50A41,0103000020346C0000010000000500000000000000001815410000000060E40A4100000000001815410000000080E70A4100000000901915410000000080E70A4100000000901915410000000060E40A4100000000001815410000000060E40A41,0103000020346C0000010000002100000000000000B01C154100000000F0E50A41F22208C99C1C15410D50C1D169E40A41EC0A29E1631C15412E2715A2F2E20A4109833878071C1541EB6A0ADC98E10A410803561B8B1B1541F0F953C969E00A418ACAFA91F31A1541EEF98E0F71DF0A41696CF5AE461A154129EAAD3DB8DE0A41F9571F178B1915411CBAEF6D46DE0A4100000000C81815410000000020DE0A4107A8E0E8041815411CBAEF6D46DE0A4197930A514917154129EAAD3DB8DE0A417635056E9C161541EEF98E0F71DF0A41F8FCA9E404161541F0F953C969E00A41F77CC78788151541EB6A0ADC98E10A4114F5D61E2C1515412E2715A2F2E20A410EDDF736F31415410D50C1D169E40A4100000000E014154100000000F0E50A410EDDF736F3141541F3AF3E2E76E70A4114F5D61E2C151541D2D8EA5DEDE80A41F77CC787881515411595F52347EA0A41F8FCA9E4041615411006AC3676EB0A417635056E9C161541120671F06EEC0A4197930A5149171541D71552C227ED0A4107A8E0E804181541E445109299ED0A4100000000C818154100000000C0ED0A41F9571F178B191541E445109299ED0A41696CF5AE461A1541D81552C227ED0A418ACAFA91F31A1541120671F06EEC0A410803561B8B1B15411006AC3676EB0A4109833878071C15411595F52347EA0A41EC0A29E1631C1541D2D8EA5DEDE80A41F22208C99C1C1541F3AF3E2E76E70A4100000000B01C154100000000F0E50A41,20/12/2023 10:38,20/12/2023 10:38,{35},"{144,181}",{3}
BRC000000000USE7,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,23/09/2014,23/09/2014,23/09/2014,D,04/09/2018,04/09/2018,ST405863,Imported,NULL,,1,1,Alex Pollard,Alex Pollard,Original,None,SEWBReCORD,,,Grounded male: identified in the hand. To be ringed and released at site. .,1,23/09/2014,340550,186350,340500,186300,340600,186400,,ST405863,ST4086,ST48,51.57286822,-2.859216527,100,0101000020346C00000000000018C914410000000070BF0641,0103000020346C000001000000050000000000000050C8144100000000E0BD06410000000050C814410000000000C1064100000000E0C914410000000000C1064100000000E0C9144100000000E0BD06410000000050C8144100000000E0BD0641,0103000020346C000001000000210000000000000000CD14410000000070BF0641F22208C9ECCC14410D50C1D1E9BD0641EC0A29E1B3CC14412E2715A272BC06410983387857CC1441EB6A0ADC18BB06410803561BDBCB1441F0F953C9E9B906418ACAFA9143CB1441EEF98E0FF1B80641696CF5AE96CA144129EAAD3D38B80641F9571F17DBC914411CBAEF6DC6B706410000000018C9144100000000A0B7064107A8E0E854C814411CBAEF6DC6B7064197930A5199C7144129EAAD3D38B806417635056EECC61441EEF98E0FF1B80641F8FCA9E454C61441F0F953C9E9B90641F77CC787D8C51441EB6A0ADC18BB064114F5D61E7CC514412E2715A272BC06410EDDF73643C514410D50C1D1E9BD06410000000030C514410000000070BF06410EDDF73643C51441F3AF3E2EF6C0064114F5D61E7CC51441D2D8EA5D6DC20641F77CC787D8C514411595F523C7C30641F8FCA9E454C614411006AC36F6C406417635056EECC61441120671F0EEC5064197930A5199C71441D71552C2A7C6064107A8E0E854C81441E445109219C706410000000018C914410000000040C70641F9571F17DBC91441E445109219C70641696CF5AE96CA1441D81552C2A7C606418ACAFA9143CB1441120671F0EEC506410803561BDBCB14411006AC36F6C406410983387857CC14411595F523C7C30641EC0A29E1B3CC1441D2D8EA5D6DC20641F22208C9ECCC1441F3AF3E2EF6C006410000000000CD14410000000070BF0641,20/12/2023 12:33,20/12/2023 12:33,{35},"{145,181}",{3}
LC0002150000G90K,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,27/05/2008,27/05/2008,27/05/2008,D,07/08/2020,07/08/2020,ST1562687294,Imported,NULL,Valleys,1,1,Valleys Bat Group,Valleys Bat Group,Unassessed,aural bat detector,Bats & Roadside Mammals Survey,,,,1,27/05/2008,315626,187294,315626,187294,315627,187295,ST15628729,ST156872,ST1587,ST18,51.57816998,-3.219004713,1,0101000020346C000000000000A843134100000000F0DC0641,0103000020346C0000010000000500000000000000A843134100000000F0DC064100000000A843134100000000F8DC064100000000AC43134100000000F8DC064100000000AC43134100000000F0DC064100000000A843134100000000F0DC0641,0103000020346C00000100000021000000000000009047134100000000F0DC0641F22208C97C4713410D50C1D169DB0641EC0A29E1434713412E2715A2F2D9064109833878E7461341EB6A0ADC98D806410803561B6B461341F0F953C969D706418ACAFA91D3451341EEF98E0F71D60641696CF5AE2645134129EAAD3DB8D50641F9571F176B4413411CBAEF6D46D5064100000000A84313410000000020D5064107A8E0E8E44213411CBAEF6D46D5064197930A512942134129EAAD3DB8D506417635056E7C411341EEF98E0F71D60641F8FCA9E4E4401341F0F953C969D70641F77CC78768401341EB6A0ADC98D8064114F5D61E0C4013412E2715A2F2D906410EDDF736D33F13410D50C1D169DB064100000000C03F134100000000F0DC06410EDDF736D33F1341F3AF3E2E76DE064114F5D61E0C401341D2D8EA5DEDDF0641F77CC787684013411595F52347E10641F8FCA9E4E44013411006AC3676E206417635056E7C411341120671F06EE3064197930A5129421341D71552C227E4064107A8E0E8E4421341E445109299E4064100000000A843134100000000C0E40641F9571F176B441341E445109299E40641696CF5AE26451341D81552C227E406418ACAFA91D3451341120671F06EE306410803561B6B4613411006AC3676E2064109833878E74613411595F52347E10641EC0A29E143471341D2D8EA5DEDDF0641F22208C97C471341F3AF3E2E76DE0641000000009047134100000000F0DC0641,20/12/2023 13:40,20/12/2023 13:40,{41},"{141,181}",{3}
LC0002150000HIK2,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,18/05/2009,18/05/2009,18/05/2009,D,07/08/2020,07/08/2020,SO367019,Imported,NULL,Coleg Gwent,1,1,Phil Morgan,Phil P.L. Morgan,Unassessed,Field Record,Monmouthshire Mammal Records,,,Bat detector: time expansion record. Commuting,1,18/05/2009,336750,201950,336700,201900,336800,202000,,SO367019,SO3601,SO30,51.71269939,-2.916865783,100,0101000020346C000000000000B88D144100000000F0A60841,0103000020346C0000010000000500000000000000F08C14410000000060A5084100000000F08C14410000000080A8084100000000808E14410000000080A8084100000000808E14410000000060A5084100000000F08C14410000000060A50841,0103000020346C0000010000002100000000000000A091144100000000F0A60841F22208C98C9114410D50C1D169A50841EC0A29E1539114412E2715A2F2A3084109833878F7901441EB6A0ADC98A208410803561B7B901441F0F953C969A108418ACAFA91E38F1441EEF98E0F71A00841696CF5AE368F144129EAAD3DB89F0841F9571F177B8E14411CBAEF6D469F084100000000B88D144100000000209F084107A8E0E8F48C14411CBAEF6D469F084197930A51398C144129EAAD3DB89F08417635056E8C8B1441EEF98E0F71A00841F8FCA9E4F48A1441F0F953C969A10841F77CC787788A1441EB6A0ADC98A2084114F5D61E1C8A14412E2715A2F2A308410EDDF736E38914410D50C1D169A5084100000000D089144100000000F0A608410EDDF736E3891441F3AF3E2E76A8084114F5D61E1C8A1441D2D8EA5DEDA90841F77CC787788A14411595F52347AB0841F8FCA9E4F48A14411006AC3676AC08417635056E8C8B1441120671F06EAD084197930A51398C1441D71552C227AE084107A8E0E8F48C1441E445109299AE084100000000B88D144100000000C0AE0841F9571F177B8E1441E445109299AE0841696CF5AE368F1441D81552C227AE08418ACAFA91E38F1441120671F06EAD08410803561B7B9014411006AC3676AC084109833878F79014411595F52347AB0841EC0A29E153911441D2D8EA5DEDA90841F22208C98C911441F3AF3E2E76A8084100000000A091144100000000F0A60841,20/12/2023 13:53,20/12/2023 13:53,{35},"{144,181}",{3}
LC0002150000QS9D,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,04/09/2013,04/09/2013,04/09/2013,D,07/08/2020,07/08/2020,SO4932512270,Imported,NULL,Land Off Wonastow Road: Monmouth,1,1,C Snell,C Snell,Unassessed,None,SoltysBrewster Records,,,,1,04/09/2013,349325,212270,349325,212270,349326,212271,SO49321227,SO493122,SO4912,SO41,51.80675905,-2.736384617,1,0101000020346C000000000000345215410000000070E90941,0103000020346C0000010000000500000000000000345215410000000070E9094100000000345215410000000078E9094100000000385215410000000078E9094100000000385215410000000070E9094100000000345215410000000070E90941,0103000020346C00000100000021000000000000001C5615410000000070E90941F22208C9085615410D50C1D1E9E70941EC0A29E1CF5515412E2715A272E609410983387873551541EB6A0ADC18E509410803561BF7541541F0F953C9E9E309418ACAFA915F541541EEF98E0FF1E20941696CF5AEB253154129EAAD3D38E20941F9571F17F75215411CBAEF6DC6E10941000000003452154100000000A0E1094107A8E0E8705115411CBAEF6DC6E1094197930A51B550154129EAAD3D38E209417635056E08501541EEF98E0FF1E20941F8FCA9E4704F1541F0F953C9E9E30941F77CC787F44E1541EB6A0ADC18E5094114F5D61E984E15412E2715A272E609410EDDF7365F4E15410D50C1D1E9E70941000000004C4E15410000000070E909410EDDF7365F4E1541F3AF3E2EF6EA094114F5D61E984E1541D2D8EA5D6DEC0941F77CC787F44E15411595F523C7ED0941F8FCA9E4704F15411006AC36F6EE09417635056E08501541120671F0EEEF094197930A51B5501541D71552C2A7F0094107A8E0E870511541E445109219F1094100000000345215410000000040F10941F9571F17F7521541E445109219F10941696CF5AEB2531541D81552C2A7F009418ACAFA915F541541120671F0EEEF09410803561BF75415411006AC36F6EE094109833878735515411595F523C7ED0941EC0A29E1CF551541D2D8EA5D6DEC0941F22208C908561541F3AF3E2EF6EA0941000000001C5615410000000070E90941,20/12/2023 15:22,20/12/2023 15:22,{35},"{144,181}",{3}
LC0002150000QS9S,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,01/09/2013,01/09/2013,01/09/2013,D,07/08/2020,07/08/2020,SS6177990933,Imported,NULL,land at Derwen Fawr Road near Sketty.,1,1,D Rees,D Rees,Unassessed,None,SoltysBrewster Records,,,,1,01/09/2013,261779,190933,261779,190933,261780,190934,SS61779093,SS617909,SS6190,SS69,51.6002288,-3.997101185,1,0101000020346C00000000000098F40F4100000000A84E0741,0103000020346C000001000000050000000000000098F40F4100000000A84E07410000000098F40F4100000000B04E074100000000A0F40F4100000000B04E074100000000A0F40F4100000000A84E07410000000098F40F4100000000A84E0741,0103000020346C000001000000210000000000000068FC0F4100000000A84E0741E445109241FC0F410D50C1D1214D0741D71552C2CFFB0F412E2715A2AA4B0741120671F016FB0F41EB6A0ADC504A07411006AC361EFA0F41F0F953C9214907411595F523EFF80F41EEF98E0F29480741D2D8EA5D95F70F4129EAAD3D70470741F3AF3E2E1EF60F411CBAEF6DFE4607410000000098F40F4100000000D84607410D50C1D111F30F411CBAEF6DFE4607412E2715A29AF10F4129EAAD3D70470741EB6A0ADC40F00F41EEF98E0F29480741F0F953C911EF0F41F0F953C921490741EEF98E0F19EE0F41EB6A0ADC504A074129EAAD3D60ED0F412E2715A2AA4B07411CBAEF6DEEEC0F410D50C1D1214D074100000000C8EC0F4100000000A84E07411CBAEF6DEEEC0F41F3AF3E2E2E50074128EAAD3D60ED0F41D2D8EA5DA5510741EEF98E0F19EE0F411595F523FF520741F0F953C911EF0F411006AC362E540741EB6A0ADC40F00F41120671F0265507412E2715A29AF10F41D71552C2DF5507410D50C1D111F30F41E4451092515607410000000098F40F410000000078560741F3AF3E2E1EF60F41E445109251560741D2D8EA5D95F70F41D81552C2DF5507411595F523EFF80F41120671F0265507411006AC361EFA0F411006AC362E540741120671F016FB0F411595F523FF520741D71552C2CFFB0F41D2D8EA5DA5510741E445109241FC0F41F3AF3E2E2E5007410000000068FC0F4100000000A84E0741,20/12/2023 15:22,20/12/2023 15:22,{41},"{135,181,182}",{3}
LC0002150000QVZ1,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,30/09/2013,30/09/2013,30/09/2013,D,07/08/2020,07/08/2020,ST1581087078,Imported,NULL,Caerphilly,1,1,Alex Pollard,Dr Alex Pollard,Unassessed,Possible Roost,Cardiff Bat Records,,,Bat care record.  picked up from vets on Market St: found on wall outside WH Smiths. Released,1,30/09/2013,315810,187078,315810,187078,315811,187079,ST15818707,ST158870,ST1587,ST18,51.57625584,-3.216298188,1,0101000020346C000000000000884613410000000030D60641,0103000020346C0000010000000500000000000000884613410000000030D6064100000000884613410000000038D60641000000008C4613410000000038D60641000000008C4613410000000030D6064100000000884613410000000030D60641,0103000020346C0000010000002100000000000000704A13410000000030D60641F22208C95C4A13410D50C1D1A9D40641EC0A29E1234A13412E2715A232D3064109833878C7491341EB6A0ADCD8D106410803561B4B491341F0F953C9A9D006418ACAFA91B3481341EEF98E0FB1CF0641696CF5AE0648134129EAAD3DF8CE0641F9571F174B4713411CBAEF6D86CE064100000000884613410000000060CE064107A8E0E8C44513411CBAEF6D86CE064197930A510945134129EAAD3DF8CE06417635056E5C441341EEF98E0FB1CF0641F8FCA9E4C4431341F0F953C9A9D00641F77CC78748431341EB6A0ADCD8D1064114F5D61EEC4213412E2715A232D306410EDDF736B34213410D50C1D1A9D4064100000000A04213410000000030D606410EDDF736B3421341F3AF3E2EB6D7064114F5D61EEC421341D2D8EA5D2DD90641F77CC787484313411595F52387DA0641F8FCA9E4C44313411006AC36B6DB06417635056E5C441341120671F0AEDC064197930A5109451341D71552C267DD064107A8E0E8C4451341E4451092D9DD064100000000884613410000000000DE0641F9571F174B471341E4451092D9DD0641696CF5AE06481341D81552C267DD06418ACAFA91B3481341120671F0AEDC06410803561B4B4913411006AC36B6DB064109833878C74913411595F52387DA0641EC0A29E1234A1341D2D8EA5D2DD90641F22208C95C4A1341F3AF3E2EB6D7064100000000704A13410000000030D60641,20/12/2023 15:23,20/12/2023 15:23,{41},"{141,181}",{3}
LC0002150000R6JJ,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,24/05/2007,24/05/2007,24/05/2007,D,07/08/2020,07/08/2020,SN723046,Imported,NULL,Former Cwmtawe School Site: Pontardawe,1,1,Jenny Colley: John Galvin: Len Moran: R.H.A. Taylor: Rob Colley,Rob R.W. Colley,Unassessed,Foraging/Commuting,Rob Colley Associates Survey Records,,,Dusk survey: anabat recorded: flying north,1,24/05/2007,272350,204650,272300,204600,272400,204700,,SN723046,SN7204,SN70,51.72599417,-3.849575165,100,0101000020346C000000000000789F10410000000050FB0841,0103000020346C0000010000000500000000000000B09E104100000000C0F9084100000000B09E104100000000E0FC08410000000040A0104100000000E0FC08410000000040A0104100000000C0F9084100000000B09E104100000000C0F90841,0103000020346C000001000000210000000000000060A310410000000050FB0841F22208C94CA310410D50C1D1C9F90841EC0A29E113A310412E2715A252F8084109833878B7A21041EB6A0ADCF8F608410803561B3BA21041F0F953C9C9F508418ACAFA91A3A11041EEF98E0FD1F40841696CF5AEF6A0104129EAAD3D18F40841F9571F173BA010411CBAEF6DA6F3084100000000789F10410000000080F3084107A8E0E8B49E10411CBAEF6DA6F3084197930A51F99D104129EAAD3D18F408417635056E4C9D1041EEF98E0FD1F40841F8FCA9E4B49C1041F0F953C9C9F50841F77CC787389C1041EB6A0ADCF8F6084114F5D61EDC9B10412E2715A252F808410EDDF736A39B10410D50C1D1C9F9084100000000909B10410000000050FB08410EDDF736A39B1041F3AF3E2ED6FC084114F5D61EDC9B1041D2D8EA5D4DFE0841F77CC787389C10411595F523A7FF0841F8FCA9E4B49C10411006AC36D60009417635056E4C9D1041120671F0CE01094197930A51F99D1041D71552C28702094107A8E0E8B49E1041E4451092F902094100000000789F10410000000020030941F9571F173BA01041E4451092F9020941696CF5AEF6A01041D81552C2870209418ACAFA91A3A11041120671F0CE0109410803561B3BA210411006AC36D600094109833878B7A210411595F523A7FF0841EC0A29E113A31041D2D8EA5D4DFE0841F22208C94CA31041F3AF3E2ED6FC08410000000060A310410000000050FB0841,20/12/2023 15:27,20/12/2023 15:27,{41},"{136,181,182}",{3}
LC0002150000R7RJ,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,11/09/2014,11/09/2014,11/09/2014,D,07/08/2020,07/08/2020,SO4091604769,Imported,NULL,The Cayo,1,1,Wildwood Ecology Ltd,Wildwood Ecology Ltd,Unassessed,Foraging/Commuting,Wildwood Ecology Records,,,Foraging around site,1,11/09/2014,340916,204769,340916,204769,340917,204770,SO40910476,SO409047,SO4004,SO40,51.73849763,-2.85705485,1,0101000020346C000000000000D0CE14410000000008FF0841,0103000020346C0000010000000500000000000000D0CE14410000000008FF084100000000D0CE14410000000010FF084100000000D4CE14410000000010FF084100000000D4CE14410000000008FF084100000000D0CE14410000000008FF0841,0103000020346C0000010000002100000000000000B8D214410000000008FF0841F22208C9A4D214410D50C1D181FD0841EC0A29E16BD214412E2715A20AFC0841098338780FD21441EB6A0ADCB0FA08410803561B93D11441F0F953C981F908418ACAFA91FBD01441EEF98E0F89F80841696CF5AE4ED0144129EAAD3DD0F70841F9571F1793CF14411CBAEF6D5EF7084100000000D0CE14410000000038F7084107A8E0E80CCE14411CBAEF6D5EF7084197930A5151CD144129EAAD3DD0F708417635056EA4CC1441EEF98E0F89F80841F8FCA9E40CCC1441F0F953C981F90841F77CC78790CB1441EB6A0ADCB0FA084114F5D61E34CB14412E2715A20AFC08410EDDF736FBCA14410D50C1D181FD084100000000E8CA14410000000008FF08410EDDF736FBCA1441F3AF3E2E8E00094114F5D61E34CB1441D2D8EA5D05020941F77CC78790CB14411595F5235F030941F8FCA9E40CCC14411006AC368E0409417635056EA4CC1441120671F08605094197930A5151CD1441D71552C23F06094107A8E0E80CCE1441E4451092B106094100000000D0CE144100000000D8060941F9571F1793CF1441E4451092B1060941696CF5AE4ED01441D81552C23F0609418ACAFA91FBD01441120671F0860509410803561B93D114411006AC368E040941098338780FD214411595F5235F030941EC0A29E16BD21441D2D8EA5D05020941F22208C9A4D21441F3AF3E2E8E00094100000000B8D214410000000008FF0841,20/12/2023 15:27,20/12/2023 15:27,{35},"{144,181}",{3}
LC0002150000S4LY,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,30/09/2014,30/09/2014,30/09/2014,D,07/08/2020,07/08/2020,SO5061712037,Imported,NULL,Portal Road: Monmouth,1,1,Robert Morgan,Robert Morgan,Unassessed,None,Just Mammals,,,Bat detector: time expansion record: Class of site - Foraging,1,30/09/2014,350617,212037,350617,212037,350618,212038,SO50611203,SO506120,SO5012,SO51,51.8047802,-2.717614008,1,0101000020346C000000000000646615410000000028E20941,0103000020346C0000010000000500000000000000646615410000000028E2094100000000646615410000000030E2094100000000686615410000000030E2094100000000686615410000000028E2094100000000646615410000000028E20941,0103000020346C00000100000021000000000000004C6A15410000000028E20941F22208C9386A15410D50C1D1A1E00941EC0A29E1FF6915412E2715A22ADF094109833878A3691541EB6A0ADCD0DD09410803561B27691541F0F953C9A1DC09418ACAFA918F681541EEF98E0FA9DB0941696CF5AEE267154129EAAD3DF0DA0941F9571F17276715411CBAEF6D7EDA094100000000646615410000000058DA094107A8E0E8A06515411CBAEF6D7EDA094197930A51E564154129EAAD3DF0DA09417635056E38641541EEF98E0FA9DB0941F8FCA9E4A0631541F0F953C9A1DC0941F77CC78724631541EB6A0ADCD0DD094114F5D61EC86215412E2715A22ADF09410EDDF7368F6215410D50C1D1A1E00941000000007C6215410000000028E209410EDDF7368F621541F3AF3E2EAEE3094114F5D61EC8621541D2D8EA5D25E50941F77CC787246315411595F5237FE60941F8FCA9E4A06315411006AC36AEE709417635056E38641541120671F0A6E8094197930A51E5641541D71552C25FE9094107A8E0E8A0651541E4451092D1E90941000000006466154100000000F8E90941F9571F1727671541E4451092D1E90941696CF5AEE2671541D81552C25FE909418ACAFA918F681541120671F0A6E809410803561B276915411006AC36AEE7094109833878A36915411595F5237FE60941EC0A29E1FF691541D2D8EA5D25E50941F22208C9386A1541F3AF3E2EAEE30941000000004C6A15410000000028E20941,20/12/2023 15:37,20/12/2023 15:37,{35},"{144,181}",{3}
LC0002150000S4MH,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,02/07/2014,02/07/2014,02/07/2014,D,07/08/2020,07/08/2020,SO3013113468,Imported,NULL,Castle Meadows: Abergavenny,1,1,Jennifer  Gatward,Jennifer  Gatward,Unassessed,None,Just Mammals,,,Bat detector: time expansion record: Class of site - Foraging,1,02/07/2014,330131,213468,330131,213468,330132,213469,SO30131346,SO301134,SO3013,SO31,51.81545544,-3.014972315,1,0101000020346C0000000000004C26144100000000E00E0A41,0103000020346C00000100000005000000000000004C26144100000000E00E0A41000000004C26144100000000E80E0A41000000005026144100000000E80E0A41000000005026144100000000E00E0A41000000004C26144100000000E00E0A41,0103000020346C0000010000002100000000000000342A144100000000E00E0A41F22208C9202A14410D50C1D1590D0A41EC0A29E1E72914412E2715A2E20B0A41098338788B291441EB6A0ADC880A0A410803561B0F291441F0F953C959090A418ACAFA9177281441EEF98E0F61080A41696CF5AECA27144129EAAD3DA8070A41F9571F170F2714411CBAEF6D36070A41000000004C2614410000000010070A4107A8E0E8882514411CBAEF6D36070A4197930A51CD24144129EAAD3DA8070A417635056E20241441EEF98E0F61080A41F8FCA9E488231441F0F953C959090A41F77CC7870C231441EB6A0ADC880A0A4114F5D61EB02214412E2715A2E20B0A410EDDF736772214410D50C1D1590D0A41000000006422144100000000E00E0A410EDDF73677221441F3AF3E2E66100A4114F5D61EB0221441D2D8EA5DDD110A41F77CC7870C2314411595F52337130A41F8FCA9E4882314411006AC3666140A417635056E20241441120671F05E150A4197930A51CD241441D71552C217160A4107A8E0E888251441E445109289160A41000000004C26144100000000B0160A41F9571F170F271441E445109289160A41696CF5AECA271441D81552C217160A418ACAFA9177281441120671F05E150A410803561B0F2914411006AC3666140A41098338788B2914411595F52337130A41EC0A29E1E7291441D2D8EA5DDD110A41F22208C9202A1441F3AF3E2E66100A4100000000342A144100000000E00E0A41,20/12/2023 15:37,20/12/2023 15:37,{35},"{144,181}",{3}
LC0002150000SA7M,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,14/09/2014,14/09/2014,14/09/2014,D,07/08/2020,07/08/2020,ST235803,Imported,NULL,Willowbrook: St Mellons,1,1,Robert Morgan,Robert Morgan,Unassessed,None,Just Mammals,,,Bat detector: time expansion record: Commuting,1,14/09/2014,323550,180350,323500,180300,323600,180400,,ST235803,ST2380,ST28,51.51687746,-3.103165479,100,0101000020346C00000000000078BF134100000000F0030641,0103000020346C0000010000000500000000000000B0BE1341000000006002064100000000B0BE134100000000800506410000000040C0134100000000800506410000000040C01341000000006002064100000000B0BE13410000000060020641,0103000020346C000001000000210000000000000060C3134100000000F0030641F22208C94CC313410D50C1D169020641EC0A29E113C313412E2715A2F200064109833878B7C21341EB6A0ADC98FF05410803561B3BC21341F0F953C969FE05418ACAFA91A3C11341EEF98E0F71FD0541696CF5AEF6C0134129EAAD3DB8FC0541F9571F173BC013411CBAEF6D46FC05410000000078BF13410000000020FC054107A8E0E8B4BE13411CBAEF6D46FC054197930A51F9BD134129EAAD3DB8FC05417635056E4CBD1341EEF98E0F71FD0541F8FCA9E4B4BC1341F0F953C969FE0541F77CC78738BC1341EB6A0ADC98FF054114F5D61EDCBB13412E2715A2F20006410EDDF736A3BB13410D50C1D1690206410000000090BB134100000000F00306410EDDF736A3BB1341F3AF3E2E7605064114F5D61EDCBB1341D2D8EA5DED060641F77CC78738BC13411595F52347080641F8FCA9E4B4BC13411006AC36760906417635056E4CBD1341120671F06E0A064197930A51F9BD1341D71552C2270B064107A8E0E8B4BE1341E4451092990B06410000000078BF134100000000C00B0641F9571F173BC01341E4451092990B0641696CF5AEF6C01341D81552C2270B06418ACAFA91A3C11341120671F06E0A06410803561B3BC213411006AC367609064109833878B7C213411595F52347080641EC0A29E113C31341D2D8EA5DED060641F22208C94CC31341F3AF3E2E760506410000000060C3134100000000F0030641,20/12/2023 15:39,20/12/2023 15:39,{35},"{139,181}",{3}
LC0002150000T8SH,NHMSYS0000080187,NBNORG0000049707,Pipistrellus nathusii,22/05/2015,22/05/2015,22/05/2015,D,07/08/2020,07/08/2020,SN904074,Imported,NULL,Pontneddfechan Viaduct,1,1,Carmichael Family: Dyfrig Jones,Carmichael Family,Unassessed,Field Record,Atkins (Consultant) Records,,,May monitoring survey - Dusk emergence survey.,1,22/05/2015,290450,207450,290400,207400,290500,207500,,SN904074,SN9007,SN90,51.75499183,-3.588515221,100,0101000020346C00000000000048BA114100000000D0520941,0103000020346C000001000000050000000000000080B9114100000000405109410000000080B9114100000000605409410000000010BB114100000000605409410000000010BB114100000000405109410000000080B911410000000040510941,0103000020346C000001000000210000000000000030BE114100000000D0520941F22208C91CBE11410D50C1D149510941EC0A29E1E3BD11412E2715A2D24F09410983387887BD1141EB6A0ADC784E09410803561B0BBD1141F0F953C9494D09418ACAFA9173BC1141EEF98E0F514C0941696CF5AEC6BB114129EAAD3D984B0941F9571F170BBB11411CBAEF6D264B09410000000048BA114100000000004B094107A8E0E884B911411CBAEF6D264B094197930A51C9B8114129EAAD3D984B09417635056E1CB81141EEF98E0F514C0941F8FCA9E484B71141F0F953C9494D0941F77CC78708B71141EB6A0ADC784E094114F5D61EACB611412E2715A2D24F09410EDDF73673B611410D50C1D1495109410000000060B6114100000000D05209410EDDF73673B61141F3AF3E2E5654094114F5D61EACB61141D2D8EA5DCD550941F77CC78708B711411595F52327570941F8FCA9E484B711411006AC36565809417635056E1CB81141120671F04E59094197930A51C9B81141D71552C2075A094107A8E0E884B91141E4451092795A09410000000048BA114100000000A05A0941F9571F170BBB1141E4451092795A0941696CF5AEC6BB1141D81552C2075A09418ACAFA9173BC1141120671F04E5909410803561B0BBD11411006AC36565809410983387887BD11411595F52327570941EC0A29E1E3BD1141D2D8EA5DCD550941F22208C91CBE1141F3AF3E2E565409410000000030BE114100000000D0520941,20/12/2023 15:49,20/12/2023 15:49,{41},"{140,181}",{3}
